"trans.ID","time","line","key","p_utts","p_form","p_lrb","p_obj","p_gloss","p_orient","p_mspd","c_utts","c_form","c_lrb","c_obj","c_gloss","c_orient","c_mspd","context","Parent.DXT","Child.DXT","participant_id","session","C_wpu","c_pret"
NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,"mmhm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,23,NA,"where are you?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,24,NA,"where's your leg?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,25,NA,"where's your leg?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,26,NA,"ah.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,27,NA,"that's not your leg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,28,NA,"that's your foot.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,29,NA,"ah.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,"1904-01-01 00:21:04",30,NA,"first I knocked Olivia down and then I knocked you down.","point","r","c","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,31,"e",NA,NA,NA,NA,NA,NA,NA,"will you help me?","hold","r","hand","take hand",NA,NA,NA,NA,NA,117,8,4,0
NA,NA,32,NA,"come on.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,33,NA,"there you go.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,"I got it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,3,0
NA,NA,35,NA,"should we set up the farm?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,"###","hold","r","toy","toy",NA,NA,NA,NA,NA,117,8,1,0
NA,NA,37,NA,"what is that?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,38,"*","ok, I ### the ###",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,39,NA,"is that a goose?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,40,NA,"are you a goosie girl?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,41,NA,"a sheep?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,42,"v","---",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,43,NA,"there is a black sheep in there, Laura.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,44,NA,"why don't you find the black sheep?","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,45,NA,"see if you could find the black sheep in your basket.","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,"and the white sheep?",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,4,0
NA,NA,47,NA,"yeah, you just have the white sheep so you could find the black sheep now.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,117,8,0,0
NA,"1904-01-01 00:22:25.513",48,NA,NA,NA,NA,NA,NA,NA,NA,"I want the black sheep.","hold","r","white sheep","white sheep",NA,NA,NA,NA,NA,117,8,5,0
NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,"black sheep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,2,0
NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,"###",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,"###",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,"where black sheep?",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,3,0
NA,NA,53,NA,"I think I see it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,54,NA,"in the basket.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,55,NA,"right there by your right hand.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,56,NA,"by your right hand.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,"where?",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,58,NA,"right in front of your hand by your fingers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,"1904-01-01 00:23:00.347",59,NA,NA,NA,NA,NA,NA,NA,NA,"this?","hold","r","right hand","right hand",NA,NA,NA,NA,NA,117,8,1,0
NA,NA,60,NA,"that's your right hand, right.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,"where?",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,"oh where?",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,2,0
NA,NA,63,NA,"it's a sheep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,"###",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,65,NA,"it's a black sheep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,"###",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,"where?",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,68,NA,"I think his face -- his face is looking down.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,"where?",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,70,NA,"do you see a black toy there?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,71,NA,"right on top.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,72,NA,"right in the middle.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,73,NA,"by your right hand.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,74,NA,"by your nose.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,"oh.","hold","r","black sheep","black sheep",NA,NA,NA,NA,NA,117,8,1,0
NA,"1904-01-01 00:23:34",76,NA,"that's the one, yes.","flip","r",NA,"exclamation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,77,NA,"you just couldn't see it, huh?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,"no.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,79,NA,"can you sing the Bah_Bah_Black_Sheep song for me?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,80,"v",NA,NA,NA,NA,NA,NA,NA,"---",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,81,NA,"and the sheep will dance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,82,NA,"would you like me to sing it with you?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,83,NA,"will you sing with me please?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,"1904-01-01 00:24:00",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nod","h",NA,"yes",NA,NA,NA,NA,NA,117,8,0,0
NA,NA,85,"v","---",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,86,"v",NA,NA,NA,NA,NA,NA,NA,"---",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,87,"*","where's Laura going?","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,88,"*","where's Laura going?","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,89,"*","where's she going?","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,90,"v","---",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,"1904-01-01 00:25:00",91,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e talks to M?",NA,NA,117,8,0,0
NA,NA,92,"xc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e talks to C",NA,NA,117,8,0,0
NA,NA,93,"e",NA,NA,NA,NA,NA,NA,NA,"I kind of want come  -- come play in here.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,10,0
NA,NA,94,"e",NA,NA,NA,NA,NA,NA,NA,"we ### in here ###","palm","r","toy box","toy box","palm down",NA,NA,NA,NA,117,8,5,0
NA,NA,95,"e",NA,NA,NA,NA,NA,NA,NA,"we played with them last time.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,6,0
NA,NA,96,"*","black sheep and white sheep and gray.","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,97,"e",NA,NA,NA,NA,NA,NA,NA,"I just play -- I just play with these.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,9,0
NA,NA,98,"*","black white sheep and gray ###","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,99,"e",NA,NA,NA,NA,NA,NA,NA,"I just play with these.","hold","b","cards","card",NA,NA,NA,NA,NA,117,8,5,0
NA,NA,100,"e",NA,NA,NA,NA,NA,NA,NA,"these ###",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,2,0
NA,NA,101,"*","black ###","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,102,"e",NA,NA,NA,NA,NA,NA,NA,"black sheep on here.","palm","r","cards","cards","palm down",NA,NA,NA,NA,117,8,4,0
NA,NA,103,NA,"where did you find that?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,"in the other room.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,4,0
NA,NA,105,NA,"in my room?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,106,NA,"those are my toys in my room.","$",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,"let me play with them.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,5,0
NA,NA,108,NA,"you should ask me.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,"please.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,110,NA,"ok, should we play?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,111,NA,"can we play too?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,"1904-01-01 00:26:12",112,NA,NA,NA,NA,NA,NA,NA,NA,"yes and her.","point","r","e","e",NA,NA,NA,NA,NA,117,8,3,0
NA,NA,113,NA,"I think Karen's videotaping.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,114,NA,"should we sit down and play?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,"yes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,"1904-01-01 00:26:25",116,NA,"what animals are in that card game?","palm","l","cards","give cards","palm up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,"my game.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,2,0
NA,NA,118,NA,"let's have a look.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,"###",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,"1904-01-01 00:26:32",120,NA,"how -- how_about if you sit right there please and Olivia, you sit right there please.","point - palm","r - r","spot on carpet - next to m","spot on carpet - next to m","- touch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,"no, let me sit right there.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,6,0
NA,NA,122,NA,"oh Laura, you always got to have her spot.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,123,NA,"that wasn't very nice.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,124,NA,"Laura.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,"I want to have her seat.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,6,0
NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,"###",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,127,NA,"and you knocked her down.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,128,"*","Olivia, do you want to play cards?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,129,"*",NA,NA,NA,NA,NA,NA,NA,"cards.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,"you open this for me?",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,5,0
NA,"1904-01-01 00:27:01",131,NA,NA,NA,NA,NA,NA,NA,NA,"no.","shake","h",NA,"no",NA,NA,NA,NA,NA,117,8,1,0
NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,"###","palm","r","cards","take cards","palm up",NA,NA,NA,NA,117,8,1,0
NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,"###",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,134,NA,"are you going to deal the cards?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,"yes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,136,NA,"ok.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,137,NA,NA,NA,NA,NA,NA,NA,NA,"I'm -- I'll do it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,5,0
NA,NA,138,NA,"you are going to do it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,139,NA,"I will do it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,"I'm will do it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,4,0
NA,NA,141,NA,"I will do it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,142,"*","hi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,143,"*","hi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,144,"*","hi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,"you can black sheep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,4,0
NA,NA,146,"*","Karen's making pictures of you.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,147,"*","she's taking pictures of you.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,"1904-01-01 00:27:44.865",148,NA,NA,NA,NA,NA,NA,NA,NA,"what you --","hold","r","card","card",NA,NA,NA,NA,NA,117,8,3,0
NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,"I turning these over and you ### one.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,8,0
NA,NA,150,"*","she's videotaping.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,"you have a ### one.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,5,0
NA,NA,152,NA,"ok.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,153,NA,"you going to give each of us a card?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,117,8,0,0
NA,NA,154,NA,"so we can all play, please.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,117,8,0,0
NA,NA,155,NA,"please give Olivia a card.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,"this.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,157,NA,"can we see them?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,"no.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,"1904-01-01 00:28:11",159,"*","a cow.","hold","r","cow card","cow card",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,"no.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,"wait.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,"wait, man.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,2,0
NA,NA,163,NA,"wait, man.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,164,NA,"I think you have to be a little quicker.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,117,8,0,0
NA,NA,165,NA,"Olivia is going to get tired of this game.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,117,8,0,0
NA,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,"###",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,167,NA,"are those the directions?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,"this.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,169,NA,NA,NA,NA,NA,NA,NA,NA,"yes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,170,NA,"ok.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,171,NA,NA,NA,NA,NA,NA,NA,NA,"yes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,"turn these over.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,3,0
NA,NA,173,NA,NA,NA,NA,NA,NA,NA,NA,"these.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,1,0
NA,NA,174,"*","what's wrong?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,175,"*","more milky?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,NA,176,"e",NA,NA,NA,NA,NA,NA,NA,"hey, you not be in this house.",NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,7,0
NA,NA,177,NA,"you should be very used to having people come in your house Laura.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
NA,"1904-01-01 00:29:13",178,NA,NA,NA,NA,NA,NA,NA,NA,"I not told her come in my house.","shake","h",NA,"no",NA,NA,NA,NA,NA,117,8,8,0
NA,NA,179,NA,"she should have kept that fifty dollars until you were all done.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,8,0,0
